mosq_No,mosq_species,Treatment,dpi,part,Body,Head,PCLPV_copies,GMV_copies,ATV_copies,AANV_copies,ZIKV_copies,GCTLV_copies,WSLV3_copies,WNV_copies,group(plaque/qPCR+1000) ,group(plaque/qPCR+0) ,group(plaque/qPCR+1000/body+1000) ,group(plaque/qPCR+0/body+0) ,Info1,plaque_assay,head_ZIKV+1000,body_ZIKV+1000
ANE-21dpi-9,Ae_aegypti,AA-sucrose,21dpi,body,GIM-349,GIM-339,1401,32777,0,0,,,,,AA-21dpi-sucrose,AA-21dpi-sucrose,AA-21dpi-sucrose,AA-21dpi-sucrose,AA-21dpi-sucrose,AA-sucrose,AA-21dpi-sucrose,AA-21dpi-sucrose
ANE-21dpi-10,Ae_aegypti,AA-sucrose,21dpi,body,GIM-350,GIM-340,1102,1556,0,174401,,,,,AA-21dpi-sucrose,AA-21dpi-sucrose,AA-21dpi-sucrose,AA-21dpi-sucrose,AA-21dpi-sucrose,AA-sucrose,AA-21dpi-sucrose,AA-21dpi-sucrose
ANE-21dpi-11,Ae_aegypti,AA-sucrose,21dpi,body,GIM-553,GIM-551,182857143,3569,1387144,0,,,,,AA-21dpi-sucrose,AA-21dpi-sucrose,AA-21dpi-sucrose,AA-21dpi-sucrose,AA-21dpi-sucrose,AA-sucrose,AA-21dpi-sucrose,AA-21dpi-sucrose
ANE-21dpi-12,Ae_aegypti,AA-sucrose,21dpi,body,GIM-554,GIM-552,28637630,401714286,906,0,,,,,AA-21dpi-sucrose,AA-21dpi-sucrose,AA-21dpi-sucrose,AA-21dpi-sucrose,AA-21dpi-sucrose,AA-sucrose,AA-21dpi-sucrose,AA-21dpi-sucrose
CWV-7dpi-1,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-381,GIM-361,,,,,,1752,0,2399,WNV(-),,,7dpi-WNV(-/+),CQ-7dpi-WNV,7dpi-WNV(-),,
CWV-7dpi-2,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-382,GIM-362,,,,,,0,0,16184,WNV(-),,,7dpi-WNV(-/+),CQ-7dpi-WNV,7dpi-WNV(-),,
CWV-7dpi-3,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-383,GIM-363,,,,,,2568,0,296567,WNV(-),,,7dpi-WNV(-/+),CQ-7dpi-WNV,7dpi-WNV(-),,
CWV-7dpi-4,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-384,GIM-364,,,,,,0,0,2835,WNV(-),,,7dpi-WNV(-/+),CQ-7dpi-WNV,7dpi-WNV(-),,
CWV-7dpi-5,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-385,GIM-365,,,,,,1796,0,3481,WNV(+),,,7dpi-WNV(+/),CQ-7dpi-WNV,7dpi-WNV(+),,
CWV-7dpi-6,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-386,GIM-366,,,,,,1889,0,2202,WNV(-),,,7dpi-WNV(-/+),CQ-7dpi-WNV,7dpi-WNV(-),,
CWV-7dpi-7,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-387,GIM-367,,,,,,2555,0,53677,WNV(+suspected),,,7dpi-WNV(+/),CQ-7dpi-WNV,7dpi-WNV(+),,
CWV-7dpi-8,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-388,GIM-368,,,,,,2567,0,5208,WNV(-),,,7dpi-WNV(-/+),CQ-7dpi-WNV,7dpi-WNV(-),,
CWV-7dpi-9,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-389,GIM-369,,,,,,3214,0,127,WNV(+suspected),,,7dpi-WNV(+/),CQ-7dpi-WNV,7dpi-WNV(+),,
CWV-7dpi-10,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-390,GIM-370,,,,,,2567,2869,16284,WNV(-),,,7dpi-WNV(-/+),CQ-7dpi-WNV,7dpi-WNV(-),,
CWV-7dpi-11,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-391,GIM-371,,,,,,1473,0,146,WNV(+suspected),,,7dpi-WNV(+/),CQ-7dpi-WNV,7dpi-WNV(+),,
CWV-7dpi-12,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-392,GIM-372,,,,,,2815,0,0,WNV(+),,,7dpi-WNV(+/),CQ-7dpi-WNV,7dpi-WNV(+),,
CWV-7dpi-13,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-393,GIM-373,,,,,,2709,0,938,WNV(-),,,7dpi-WNV(-/-),CQ-7dpi-WNV,7dpi-WNV(-),,
CWV-7dpi-14,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-394,GIM-374,,,,,,1529,0,17481,WNV(-),,,7dpi-WNV(-/+),CQ-7dpi-WNV,7dpi-WNV(-),,
CWV-7dpi-15,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-395,GIM-375,,,,,,3008,5130087,2828,WNV(-),,,7dpi-WNV(-/+),CQ-7dpi-WNV,7dpi-WNV(-),,
CWV-7dpi-16,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-396,GIM-376,,,,,,1144,1550919,0,WNV(-),,,7dpi-WNV(-/-),CQ-7dpi-WNV,7dpi-WNV(-),,
CWV-7dpi-17,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-397,GIM-377,,,,,,0,0,1010,WNV(-),,,7dpi-WNV(-/+),CQ-7dpi-WNV,7dpi-WNV(-),,
CWV-7dpi-18,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-398,GIM-378,,,,,,1108,3799,0,WNV(-),,,7dpi-WNV(-/-),CQ-7dpi-WNV,7dpi-WNV(-),,
CWV-7dpi-19,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-399,GIM-379,,,,,,2581,415,137,WNV(-),,,7dpi-WNV(-/-),CQ-7dpi-WNV,7dpi-WNV(-),,
CWV-7dpi-20,Cx_quinquefasciatus,CQ-WNV,7dpi,body,GIM-400,GIM-380,,,,,,2140,4627120,48062,WNV(-),,,7dpi-WNV(-/+),CQ-7dpi-WNV,7dpi-WNV(-),,
CWV-14dpi-1,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-421,GIM-401,,,,,,1960,0,0,WNV(+suspected),,,14dpi-WNV(+/),CQ-14dpi-WNV,14dpi-WNV(+),,
CWV-14dpi-2,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-422,GIM-402,,,,,,79428571,100189,4912,WNV(-),,,14dpi-WNV(-/+),CQ-14dpi-WNV,14dpi-WNV(-),,
CWV-14dpi-3,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-423,GIM-403,,,,,,4106870,3838130,4150,WNV(-),,,14dpi-WNV(-/+),CQ-14dpi-WNV,14dpi-WNV(-),,
CWV-14dpi-4,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-424,GIM-404,,,,,,1311,737371,17481,WNV(-),,,14dpi-WNV(-/+),CQ-14dpi-WNV,14dpi-WNV(-),,
CWV-14dpi-5,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-425,GIM-405,,,,,,43270436,11490621,21671,WNV(-),,,14dpi-WNV(-/+),CQ-14dpi-WNV,14dpi-WNV(-),,
CWV-14dpi-6,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-426,GIM-406,,,,,,3021244,794825,0,WNV(-),,,14dpi-WNV(-/-),CQ-14dpi-WNV,14dpi-WNV(-),,
CWV-14dpi-7,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-427,GIM-407,,,,,,1013,48947,0,WNV(-),,,14dpi-WNV(-/-),CQ-14dpi-WNV,14dpi-WNV(-),,
CWV-14dpi-8,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-428,GIM-408,,,,,,672,0,33203,WNV(+suspected),,,14dpi-WNV(+/),CQ-14dpi-WNV,14dpi-WNV(+),,
CWV-14dpi-9,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-429,GIM-409,,,,,,0,0,37579,WNV(+),,,14dpi-WNV(+/),CQ-14dpi-WNV,14dpi-WNV(+),,
CWV-14dpi-10,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-430,GIM-410,,,,,,566,3257872,0,WNV(-),,,14dpi-WNV(-/-),CQ-14dpi-WNV,14dpi-WNV(-),,
CWV-14dpi-11,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-431,GIM-411,,,,,,945,45814,22404,WNV(-),,,14dpi-WNV(-/+),CQ-14dpi-WNV,14dpi-WNV(-),,
CWV-14dpi-12,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-432,GIM-412,,,,,,469,0,101304,WNV(+suspected),,,14dpi-WNV(+/),CQ-14dpi-WNV,14dpi-WNV(+),,
CWV-14dpi-13,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-433,GIM-413,,,,,,568,4020388,0,WNV(-),,,14dpi-WNV(-/-),CQ-14dpi-WNV,14dpi-WNV(-),,
CWV-14dpi-14,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-434,GIM-414,,,,,,587,0,12990,WNV(-),,,14dpi-WNV(-/+),CQ-14dpi-WNV,14dpi-WNV(-),,
CWV-14dpi-15,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-435,GIM-415,,,,,,698,41520,6134,WNV(+suspected),,,14dpi-WNV(+/),CQ-14dpi-WNV,14dpi-WNV(+),,
CWV-14dpi-16,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-436,GIM-416,,,,,,0,0,0,WNV(-),,,14dpi-WNV(-/-),CQ-14dpi-WNV,14dpi-WNV(-),,
CWV-14dpi-17,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-437,GIM-417,,,,,,871,78829,0,WNV(-),,,14dpi-WNV(-/-),CQ-14dpi-WNV,14dpi-WNV(-),,
CWV-14dpi-18,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-438,GIM-418,,,,,,0,29067,18034,WNV(-),,,14dpi-WNV(-/+),CQ-14dpi-WNV,14dpi-WNV(-),,
CWV-14dpi-19,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-439,GIM-419,,,,,,1013,47832,596,WNV(-),,,14dpi-WNV(-/-),CQ-14dpi-WNV,14dpi-WNV(-),,
CWV-14dpi-20,Cx_quinquefasciatus,CQ-WNV,14dpi,body,GIM-440,GIM-420,,,,,,960,2247831,16647,WNV(-),,,14dpi-WNV(-/+),CQ-14dpi-WNV,14dpi-WNV(-),,
CE-7dpi-1,Cx_quinquefasciatus,CQ-blood,7dpi,body,GIM-451,GIM-441,,,,,,2018,0,,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,,
CE-7dpi-2,Cx_quinquefasciatus,CQ-blood,7dpi,body,GIM-452,GIM-442,,,,,,1380,26947115,,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,,
CE-7dpi-3,Cx_quinquefasciatus,CQ-blood,7dpi,body,GIM-453,GIM-443,,,,,,2369,10611108,,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,,
CE-7dpi-4,Cx_quinquefasciatus,CQ-blood,7dpi,body,GIM-454,GIM-444,,,,,,698,130,,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,,
CE-7dpi-5,Cx_quinquefasciatus,CQ-blood,7dpi,body,GIM-455,GIM-445,,,,,,3254,6708,,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,CQ-7dpi-blood,,
CE-14dpi-1,Cx_quinquefasciatus,CQ-blood,14dpi,body,GIM-471,GIM-461,,,,,,0,662,,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,,
CE-14dpi-2,Cx_quinquefasciatus,CQ-blood,14dpi,body,GIM-472,GIM-462,,,,,,957,60109,,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,,
CE-14dpi-3,Cx_quinquefasciatus,CQ-blood,14dpi,body,GIM-473,GIM-463,,,,,,701,18423132,,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,,
CE-14dpi-5,Cx_quinquefasciatus,CQ-blood,14dpi,body,GIM-475,GIM-465,,,,,,283,0,,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,,
CE-14dpi-6,Cx_quinquefasciatus,CQ-blood,14dpi,body,GIM-476,GIM-466,,,,,,1259,489455,,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,CQ-14dpi-blood,,
CNE-7dpi-1,Cx_quinquefasciatus,CQ-sucrose,7dpi,body,GIM-491,GIM-481,,,,,,2397,0,,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,,
CNE-7dpi-2,Cx_quinquefasciatus,CQ-sucrose,7dpi,body,GIM-492,GIM-482,,,,,,2593,0,,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,,
CNE-7dpi-3,Cx_quinquefasciatus,CQ-sucrose,7dpi,body,GIM-493,GIM-483,,,,,,133914,0,,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,,
CNE-7dpi-4,Cx_quinquefasciatus,CQ-sucrose,7dpi,body,GIM-494,GIM-484,,,,,,2174,10073604,,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,,
CNE-7dpi-5,Cx_quinquefasciatus,CQ-sucrose,7dpi,body,GIM-495,GIM-485,,,,,,1397,0,,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,CQ-7dpi-sucrose,,
CNE-14dpi-5,Cx_quinquefasciatus,CQ-sucrose,14dpi,body,GIM-525,GIM-515,,,,,,63,35824,,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,,
CNE-14dpi-7,Cx_quinquefasciatus,CQ-sucrose,14dpi,body,GIM-527,GIM-517,,,,,,1015,0,,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,,
CNE-14dpi-8,Cx_quinquefasciatus,CQ-sucrose,14dpi,body,GIM-528,GIM-518,,,,,,553,0,,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,,
CNE-14dpi-9,Cx_quinquefasciatus,CQ-sucrose,14dpi,body,GIM-529,GIM-519,,,,,,783,0,,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,,
CNE-14dpi-10,Cx_quinquefasciatus,CQ-sucrose,14dpi,body,GIM-530,GIM-520,,,,,,511,834,,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,CQ-14dpi-sucrose,,
AMT-7dpi-1,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-21,GIM-1,,,,,,,,,,,,,AA-7dpi-ZIKV,AA-ZIKV(-),,AA-7dpi-ZIKV(+)
AMT-7dpi-2,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-22,GIM-2,920315,5644,0,6101,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(+)
AMT-7dpi-3,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-23,GIM-3,734509,2914,0,19857,9075,,,,AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(+),AA-7dpi-ZIKV(+)
AMT-7dpi-4,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-24,GIM-4,61,14217,412,0,31,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(+)
AMT-7dpi-5,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-25,GIM-5,66,1729,0,33903,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(+)
AMT-7dpi-6,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-26,GIM-6,116,4632,0,0,218,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(+)
AMT-7dpi-7,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-27,GIM-7,1375,22924974,0,41755,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(-)
AMT-7dpi-8,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-28,GIM-8,1497937,30493975,0,0,4110,,,,AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(+),AA-7dpi-ZIKV(+)
AMT-7dpi-9,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-29,GIM-9,0,2201,0,9208,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(+)
AMT-7dpi-10,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-30,GIM-10,282,4077,0,0,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(-)
AMT-7dpi-11,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-31,GIM-11,0,2365,0,0,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(-)
AMT-7dpi-12,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-32,GIM-12,174,30379,0,0,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(-)
AMT-7dpi-13,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-33,GIM-13,0,3787,0,24025,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(+)
AMT-7dpi-14,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-34,GIM-14,1817406,7367,0,0,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(+)
AMT-7dpi-15,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-35,GIM-15,671,45212654,0,0,552,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(+)
AMT-7dpi-16,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-36,GIM-16,1010263,43716293,0,0,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(-)
AMT-7dpi-17,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-37,GIM-17,71,4151,0,0,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(-)
AMT-7dpi-18,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-38,GIM-18,979,20465,0,8986,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(+)
AMT-7dpi-19,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-39,GIM-19,0,13129993,692,10866,24700,,,,AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(+),AA-7dpi-ZIKV(+)
AMT-7dpi-20,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-40,GIM-20,73,64888889,463,0,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(-)
AMT-7dpi-22,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-572,GIM-556,2455,3360,0,2321929,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(-)
AMT-7dpi-23,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-573,GIM-557,884,27183,0,0,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(-)
AMT-7dpi-24,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-574,GIM-558,12695397,4477,0,0,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(-)
AMT-7dpi-25,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-575,GIM-559,5222,4529,0,0,265,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(+)
AMT-7dpi-26,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-576,GIM-560,2107,10840,0,0,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(-)
AMT-7dpi-27,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-577,GIM-561,9397080,46000000,497,0,6727,,,,AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(+),AA-7dpi-ZIKV(+)
AMT-7dpi-28,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-578,GIM-562,13335993,2972,436,0,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(-)
AMT-7dpi-30,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-580,GIM-564,145,2748,141,0,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(-)
AMT-7dpi-31,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-581,GIM-565,14102438,21036,745,0,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(-)
AMT-7dpi-32,Ae_aegypti,AA-ZIKV,7dpi,head,GIM-582,GIM-566,18031848,16524059,222,0,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(-)
